Año,Mes,Departamento,Municipio,Pasajeros Regulares
2012,Julio,Valle del Cauca,Cali," 125,818 "
2012,Julio,Vaupés,Caruru, 6 
2012,Julio,Vaupés,Mitú, 811 
2012,Julio,Vaupés,Pacoa, 17 
2012,Julio,Vaupés,Taraira, 23 
2012,Julio,Vichada,Cumaribo, 338 
2012,Julio,Vichada,La Primavera, -   
2012,Julio,Vichada,Puerto Carreño," 1,433 "
2012,Agosto,Amazonas,LA CHORRERA, 54 
2012,Agosto,Amazonas,La Pedrera, 93 
2012,Agosto,Amazonas,Leticia," 6,617 "
2012,Agosto,Amazonas,Tarapacá, 102 
2012,Agosto,Antioquia,Carepa," 7,415 "
2012,Agosto,Antioquia,Caucasia," 1,280 "
2012,Agosto,Antioquia,El Bagre, 444 
2012,Agosto,Antioquia,Medellín," 37,781 "
2012,Agosto,Antioquia,Remedios, 422 
2012,Agosto,Antioquia,Rionegro," 179,589 "
2012,Agosto,Arauca,Arauca," 4,533 "
2012,Agosto,Arauca,Tame, 223 
2012,Agosto,Atlántico,Barranquilla," 79,766 "
2012,Agosto,"Bogotá, D.C.","Bogotá, D.C."," 540,306 "
2012,Agosto,Bolívar,Cartagena," 124,314 "
2012,Agosto,Caldas,Manizales," 9,844 "
2012,Agosto,Caquetá,Florencia," 3,113 "
2012,Agosto,Caquetá,San Vicente del Caguán, 52 
2012,Agosto,Caquetá,Solano, -   
2012,Agosto,Casanare,Paz de Ariporo, 7 
2012,Agosto,Casanare,Yopal," 15,163 "
2012,Agosto,Cauca,Guapi, 698 
2012,Agosto,Cauca,Popayán," 3,471 "
2012,Agosto,Cesar,San Martín, -   
2012,Agosto,Cesar,Valledupar," 12,600 "
2012,Agosto,Chocó,Acandí, 400 
2012,Agosto,Chocó,Bahía Solano," 1,226 "
2012,Agosto,Chocó,Condoto, 205 
2012,Agosto,Chocó,Nuquí, 665 
2012,Agosto,Chocó,Quibdó," 10,744 "
2012,Agosto,Córdoba,Montería," 21,975 "
2012,Agosto,Guainía,Barranco Minas, -   
2012,Agosto,Guainía,Inírida, 963 
2012,Agosto,Guaviare,Miraflores, 50 
2012,Agosto,Guaviare,San José del Guaviare," 1,093 "
2012,Agosto,Huila,Neiva," 12,240 "
2012,Agosto,La Guajira,Maicao," 3,393 "
2012,Agosto,La Guajira,Riohacha," 3,588 "
2012,Agosto,La Guajira,Uribia," 1,059 "
